,Index Name,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
1344,Nifty 50,Nifty 50,12 Dec 2017,10324.9,10326.1,10230.2,10240.00
1345,Nifty 50,Nifty 50,11 Dec 2017,10310.5,10329.2,10282.05,10322.00
1346,Nifty 50,Nifty 50,08 Dec 2017,10198.45,10270.85,10195.25,10265.00
1347,Nifty 50,Nifty 50,07 Dec 2017,10063.45,10182.65,10061.9,10166.00
1348,Nifty 50,Nifty 50,06 Dec 2017,10088.8,10104.2,10033.35,10044.00
1349,Nifty 50,Nifty 50,05 Dec 2017,10118.25,10147.95,10069.1,10118.00
1350,Nifty 50,Nifty 50,04 Dec 2017,10175.05,10179.2,10095.7,10127.00
1351,Nifty 50,Nifty 50,01 Dec 2017,10263.7,10272.7,10108.55,10121.00
1352,Nifty 50,Nifty 50,30 Nov 2017,10332.7,10332.7,10211.25,10226.00
1353,Nifty 50,Nifty 50,29 Nov 2017,10376.65,10392.95,10345.9,10361.00
1354,Nifty 50,Nifty 50,28 Nov 2017,10387.9,10409.55,10355.2,10370.00
1355,Nifty 50,Nifty 50,27 Nov 2017,10361.05,10407.15,10340.2,10399.00
1356,Nifty 50,Nifty 50,24 Nov 2017,10366.8,10404.5,10362.25,10389.00
1357,Nifty 50,Nifty 50,23 Nov 2017,10358.45,10374.3,10307.3,10348.00
1358,Nifty 50,Nifty 50,22 Nov 2017,10350.8,10368.7,10309.55,10342.00
1359,Nifty 50,Nifty 50,21 Nov 2017,10329.25,10358.7,10315.05,10326.00
1360,Nifty 50,Nifty 50,20 Nov 2017,10287.2,10309.85,10261.5,10298.00
1361,Nifty 50,Nifty 50,17 Nov 2017,10324.55,10343.6,10268.05,10283.00
1362,Nifty 50,Nifty 50,16 Nov 2017,10152.9,10232.25,10139.2,10214.00
1363,Nifty 50,Nifty 50,15 Nov 2017,10171.95,10175.45,10094,10118.00
1364,Nifty 50,Nifty 50,14 Nov 2017,10223.4,10248,10175.55,10186.00
1365,Nifty 50,Nifty 50,13 Nov 2017,10322,10334.15,10216.25,10224.00
1366,Nifty 50,Nifty 50,10 Nov 2017,10304.35,10344.95,10254.1,10321.00
1367,Nifty 50,Nifty 50,09 Nov 2017,10358.65,10368.45,10266.95,10308.00
1368,Nifty 50,Nifty 50,08 Nov 2017,10361.95,10384.25,10285.5,10303.00
1369,Nifty 50,Nifty 50,07 Nov 2017,10477.15,10485.75,10340.8,10350.00
1370,Nifty 50,Nifty 50,06 Nov 2017,10431.75,10490.45,10413.75,10451.00
1371,Nifty 50,Nifty 50,03 Nov 2017,10461.55,10461.7,10403.6,10452.00
1372,Nifty 50,Nifty 50,02 Nov 2017,10440.5,10453,10412.55,10423.00
